E20260315 23:48:01.045214 139774882992128 main.cc:388] step    1/20 | train loss 10.999926 | lr 1.00e-04 | (2293.27 ms | 893 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:01.227945 139774882992128 main.cc:388] step    2/20 | train loss 10.989556 | lr 1.00e-04 | (182.25 ms | 11237 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:01.394242 139774882992128 main.cc:388] step    3/20 | train loss 11.004431 | lr 1.00e-04 | (166.20 ms | 12323 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:01.560349 139774882992128 main.cc:388] step    4/20 | train loss 10.972916 | lr 1.00e-04 | (166.02 ms | 12336 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:01.726299 139774882992128 main.cc:388] step    5/20 | train loss 11.002001 | lr 1.00e-04 | (165.87 ms | 12347 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:01.892305 139774882992128 main.cc:388] step    6/20 | train loss 10.972457 | lr 1.00e-04 | (165.91 ms | 12344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.058197 139774882992128 main.cc:388] step    7/20 | train loss 10.991488 | lr 1.00e-04 | (165.79 ms | 12353 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.224082 139774882992128 main.cc:388] step    8/20 | train loss 10.990304 | lr 1.00e-04 | (165.77 ms | 12354 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.390629 139774882992128 main.cc:388] step    9/20 | train loss 10.997917 | lr 1.00e-04 | (166.44 ms | 12305 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.556553 139774882992128 main.cc:388] step   10/20 | train loss 10.993038 | lr 1.00e-04 | (165.84 ms | 12349 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.722438 139774882992128 main.cc:388] step   11/20 | train loss 10.989115 | lr 1.00e-04 | (165.78 ms | 12354 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:02.888308 139774882992128 main.cc:388] step   12/20 | train loss 10.968293 | lr 1.00e-04 | (165.79 ms | 12353 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.054190 139774882992128 main.cc:388] step   13/20 | train loss 10.989413 | lr 1.00e-04 | (165.78 ms | 12354 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.220098 139774882992128 main.cc:388] step   14/20 | train loss 10.982468 | lr 1.00e-04 | (165.80 ms | 12352 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.385975 139774882992128 main.cc:388] step   15/20 | train loss 10.975812 | lr 1.00e-04 | (165.79 ms | 12353 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.551923 139774882992128 main.cc:388] step   16/20 | train loss 11.000144 | lr 1.00e-04 | (165.86 ms | 12348 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.717886 139774882992128 main.cc:388] step   17/20 | train loss 11.003327 | lr 1.00e-04 | (165.87 ms | 12347 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:03.883824 139774882992128 main.cc:388] step   18/20 | train loss 10.979716 | lr 1.00e-04 | (165.83 ms | 12350 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:04.049756 139774882992128 main.cc:388] step   19/20 | train loss 10.985396 | lr 1.00e-04 | (165.83 ms | 12350 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:04.215729 139774882992128 main.cc:388] step   20/20 | train loss 10.977718 | lr 1.00e-04 | (165.88 ms | 12347 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
