E20260315 23:48:23.466038 140206415851520 main.cc:388] step    1/20 | train loss 10.979829 | lr 1.00e-04 | (2412.16 ms | 849 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:23.779244 140206415851520 main.cc:388] step    2/20 | train loss nan | lr 1.00e-04 | (312.60 ms | 6551 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:24.088094 140206415851520 main.cc:388] step    3/20 | train loss nan | lr 1.00e-04 | (308.44 ms | 6640 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:24.397100 140206415851520 main.cc:388] step    4/20 | train loss nan | lr 1.00e-04 | (308.90 ms | 6630 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:24.706350 140206415851520 main.cc:388] step    5/20 | train loss nan | lr 1.00e-04 | (309.13 ms | 6625 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:25.015284 140206415851520 main.cc:388] step    6/20 | train loss nan | lr 1.00e-04 | (308.82 ms | 6632 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:25.324309 140206415851520 main.cc:388] step    7/20 | train loss nan | lr 1.00e-04 | (308.92 ms | 6630 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:25.633909 140206415851520 main.cc:388] step    8/20 | train loss nan | lr 1.00e-04 | (309.47 ms | 6618 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:25.944713 140206415851520 main.cc:388] step    9/20 | train loss nan | lr 1.00e-04 | (310.69 ms | 6592 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:26.253605 140206415851520 main.cc:388] step   10/20 | train loss nan | lr 1.00e-04 | (308.79 ms | 6632 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:26.562528 140206415851520 main.cc:388] step   11/20 | train loss nan | lr 1.00e-04 | (308.82 ms | 6632 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:26.871597 140206415851520 main.cc:388] step   12/20 | train loss nan | lr 1.00e-04 | (308.95 ms | 6629 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:27.187599 140206415851520 main.cc:388] step   13/20 | train loss nan | lr 1.00e-04 | (315.59 ms | 6489 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:27.496504 140206415851520 main.cc:388] step   14/20 | train loss nan | lr 1.00e-04 | (308.39 ms | 6641 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:27.805477 140206415851520 main.cc:388] step   15/20 | train loss nan | lr 1.00e-04 | (308.84 ms | 6631 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:28.114447 140206415851520 main.cc:388] step   16/20 | train loss nan | lr 1.00e-04 | (308.88 ms | 6630 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:28.423430 140206415851520 main.cc:388] step   17/20 | train loss nan | lr 1.00e-04 | (308.88 ms | 6630 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:28.732377 140206415851520 main.cc:388] step   18/20 | train loss nan | lr 1.00e-04 | (308.83 ms | 6631 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:29.042047 140206415851520 main.cc:388] step   19/20 | train loss nan | lr 1.00e-04 | (309.57 ms | 6616 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:48:29.351548 140206415851520 main.cc:388] step   20/20 | train loss nan | lr 1.00e-04 | (309.40 ms | 6619 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
