E20260316 00:44:24.910336 140022550351872 main.cc:388] step    1/20 | train loss 10.953912 | lr 1.00e-04 | (2765.21 ms | 741 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:25.672242 140022550351872 main.cc:388] step    2/20 | train loss 10.957361 | lr 1.00e-04 | (761.13 ms | 2691 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:26.441780 140022550351872 main.cc:388] step    3/20 | train loss 10.966929 | lr 1.00e-04 | (769.41 ms | 2662 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:27.205264 140022550351872 main.cc:388] step    4/20 | train loss 10.980046 | lr 1.00e-04 | (763.34 ms | 2683 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:27.976585 140022550351872 main.cc:388] step    5/20 | train loss 10.962956 | lr 1.00e-04 | (771.18 ms | 2656 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:28.737952 140022550351872 main.cc:388] step    6/20 | train loss 10.965638 | lr 1.00e-04 | (761.23 ms | 2690 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:29.500396 140022550351872 main.cc:388] step    7/20 | train loss 10.958431 | lr 1.00e-04 | (762.32 ms | 2687 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:30.262082 140022550351872 main.cc:388] step    8/20 | train loss 10.956083 | lr 1.00e-04 | (761.57 ms | 2689 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:31.023772 140022550351872 main.cc:388] step    9/20 | train loss 10.950732 | lr 1.00e-04 | (761.58 ms | 2689 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:31.785610 140022550351872 main.cc:388] step   10/20 | train loss 10.980683 | lr 1.00e-04 | (761.73 ms | 2689 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:32.546677 140022550351872 main.cc:388] step   11/20 | train loss 10.958797 | lr 1.00e-04 | (760.93 ms | 2691 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:33.308863 140022550351872 main.cc:388] step   12/20 | train loss 10.958357 | lr 1.00e-04 | (762.06 ms | 2687 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:34.071737 140022550351872 main.cc:388] step   13/20 | train loss 10.955141 | lr 1.00e-04 | (762.72 ms | 2685 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:34.832307 140022550351872 main.cc:388] step   14/20 | train loss 10.954590 | lr 1.00e-04 | (760.44 ms | 2693 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:35.594617 140022550351872 main.cc:388] step   15/20 | train loss 10.944300 | lr 1.00e-04 | (762.18 ms | 2687 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:36.357041 140022550351872 main.cc:388] step   16/20 | train loss 10.950089 | lr 1.00e-04 | (762.31 ms | 2687 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:37.118392 140022550351872 main.cc:388] step   17/20 | train loss 10.948718 | lr 1.00e-04 | (761.20 ms | 2690 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:37.880276 140022550351872 main.cc:388] step   18/20 | train loss 10.964970 | lr 1.00e-04 | (761.77 ms | 2688 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:38.642482 140022550351872 main.cc:388] step   19/20 | train loss 10.905685 | lr 1.00e-04 | (762.07 ms | 2687 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:39.403888 140022550351872 main.cc:388] step   20/20 | train loss 10.931956 | lr 1.00e-04 | (761.28 ms | 2690 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
