E20260316 11:41:43.391507 139821286359040 main.cc:388] step    1/20 | train loss 11.001196 | lr 1.00e-04 | (2692.10 ms | 1521 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:45.258926 139821286359040 main.cc:388] step    2/20 | train loss 10.995132 | lr 1.00e-04 | (1866.86 ms | 2194 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:47.116240 139821286359040 main.cc:388] step    3/20 | train loss 11.001696 | lr 1.00e-04 | (1857.21 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:48.973134 139821286359040 main.cc:388] step    4/20 | train loss 10.999966 | lr 1.00e-04 | (1856.80 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:50.831323 139821286359040 main.cc:388] step    5/20 | train loss 10.992421 | lr 1.00e-04 | (1858.10 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:52.689311 139821286359040 main.cc:388] step    6/20 | train loss 11.017457 | lr 1.00e-04 | (1857.90 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:54.546726 139821286359040 main.cc:388] step    7/20 | train loss 10.999174 | lr 1.00e-04 | (1857.33 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:56.405360 139821286359040 main.cc:388] step    8/20 | train loss 10.986428 | lr 1.00e-04 | (1858.56 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:58.262354 139821286359040 main.cc:388] step    9/20 | train loss 11.000011 | lr 1.00e-04 | (1856.89 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:00.106915 139821286359040 main.cc:388] step   10/20 | train loss 10.987243 | lr 1.00e-04 | (1844.49 ms | 2221 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:01.964616 139821286359040 main.cc:388] step   11/20 | train loss 10.988757 | lr 1.00e-04 | (1857.61 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:03.824196 139821286359040 main.cc:388] step   12/20 | train loss 10.999803 | lr 1.00e-04 | (1859.45 ms | 2203 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:05.681294 139821286359040 main.cc:388] step   13/20 | train loss 10.982637 | lr 1.00e-04 | (1856.98 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:07.538261 139821286359040 main.cc:388] step   14/20 | train loss 10.995129 | lr 1.00e-04 | (1856.88 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:09.383925 139821286359040 main.cc:388] step   15/20 | train loss 11.003435 | lr 1.00e-04 | (1845.55 ms | 2219 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:11.241731 139821286359040 main.cc:388] step   16/20 | train loss 10.999555 | lr 1.00e-04 | (1857.72 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:13.099474 139821286359040 main.cc:388] step   17/20 | train loss 10.997089 | lr 1.00e-04 | (1857.64 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:14.955813 139821286359040 main.cc:388] step   18/20 | train loss 10.972380 | lr 1.00e-04 | (1856.24 ms | 2207 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:16.814179 139821286359040 main.cc:388] step   19/20 | train loss 10.994506 | lr 1.00e-04 | (1858.28 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:18.671356 139821286359040 main.cc:388] step   20/20 | train loss 10.988287 | lr 1.00e-04 | (1857.07 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
