E20260316 12:16:34.317352 140136798793728 main.cc:388] step    1/20 | train loss 10.981355 | lr 1.00e-04 | (3234.58 ms | 633 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:35.473477 140136798793728 main.cc:388] step    2/20 | train loss 10.990321 | lr 1.00e-04 | (1155.30 ms | 1773 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:36.631500 140136798793728 main.cc:388] step    3/20 | train loss 10.984447 | lr 1.00e-04 | (1157.90 ms | 1769 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:37.762634 140136798793728 main.cc:388] step    4/20 | train loss 10.984723 | lr 1.00e-04 | (1131.02 ms | 1811 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:38.919028 140136798793728 main.cc:388] step    5/20 | train loss 11.009223 | lr 1.00e-04 | (1156.30 ms | 1771 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:40.062542 140136798793728 main.cc:388] step    6/20 | train loss 10.985158 | lr 1.00e-04 | (1143.39 ms | 1791 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:41.205975 140136798793728 main.cc:388] step    7/20 | train loss 10.973647 | lr 1.00e-04 | (1143.34 ms | 1791 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:42.361058 140136798793728 main.cc:388] step    8/20 | train loss 10.974741 | lr 1.00e-04 | (1154.99 ms | 1773 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:43.519160 140136798793728 main.cc:388] step    9/20 | train loss 10.968850 | lr 1.00e-04 | (1157.64 ms | 1769 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:44.663069 140136798793728 main.cc:388] step   10/20 | train loss 10.949760 | lr 1.00e-04 | (1143.44 ms | 1791 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:45.821448 140136798793728 main.cc:388] step   11/20 | train loss 10.996392 | lr 1.00e-04 | (1158.29 ms | 1768 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:46.965136 140136798793728 main.cc:388] step   12/20 | train loss 10.986500 | lr 1.00e-04 | (1143.59 ms | 1791 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:48.108942 140136798793728 main.cc:388] step   13/20 | train loss 10.973916 | lr 1.00e-04 | (1143.67 ms | 1791 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:49.266298 140136798793728 main.cc:388] step   14/20 | train loss 10.971070 | lr 1.00e-04 | (1157.25 ms | 1770 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:50.424405 140136798793728 main.cc:388] step   15/20 | train loss 11.000060 | lr 1.00e-04 | (1158.02 ms | 1769 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:51.567594 140136798793728 main.cc:388] step   16/20 | train loss 10.982632 | lr 1.00e-04 | (1143.08 ms | 1792 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:52.723772 140136798793728 main.cc:388] step   17/20 | train loss 10.981611 | lr 1.00e-04 | (1156.09 ms | 1771 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:53.867837 140136798793728 main.cc:388] step   18/20 | train loss 10.963077 | lr 1.00e-04 | (1143.98 ms | 1790 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:55.025921 140136798793728 main.cc:388] step   19/20 | train loss 10.973425 | lr 1.00e-04 | (1157.97 ms | 1769 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 12:16:56.184823 140136798793728 main.cc:388] step   20/20 | train loss 10.992957 | lr 1.00e-04 | (1158.41 ms | 1768 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
