E20260316 13:13:47.629416 140203972669440 main.cc:388] step    1/20 | train loss 11.009463 | lr 1.00e-04 | (3382.87 ms | 605 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:49.157554 140203972669440 main.cc:388] step    2/20 | train loss 10.996884 | lr 1.00e-04 | (1527.38 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:50.677078 140203972669440 main.cc:388] step    3/20 | train loss 11.013180 | lr 1.00e-04 | (1519.43 ms | 1348 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:52.204819 140203972669440 main.cc:388] step    4/20 | train loss 11.004272 | lr 1.00e-04 | (1527.64 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:53.728203 140203972669440 main.cc:388] step    5/20 | train loss 10.974380 | lr 1.00e-04 | (1523.26 ms | 1344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:55.277603 140203972669440 main.cc:388] step    6/20 | train loss 10.975554 | lr 1.00e-04 | (1549.31 ms | 1322 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:56.804779 140203972669440 main.cc:388] step    7/20 | train loss 10.979026 | lr 1.00e-04 | (1527.07 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:58.323208 140203972669440 main.cc:388] step    8/20 | train loss 10.969112 | lr 1.00e-04 | (1518.34 ms | 1349 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:59.862940 140203972669440 main.cc:388] step    9/20 | train loss 10.978297 | lr 1.00e-04 | (1539.62 ms | 1330 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:01.404740 140203972669440 main.cc:388] step   10/20 | train loss 10.979630 | lr 1.00e-04 | (1541.71 ms | 1328 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:02.941774 140203972669440 main.cc:388] step   11/20 | train loss 10.974133 | lr 1.00e-04 | (1536.94 ms | 1333 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:04.468572 140203972669440 main.cc:388] step   12/20 | train loss 10.979691 | lr 1.00e-04 | (1526.68 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:06.008667 140203972669440 main.cc:388] step   13/20 | train loss 10.996754 | lr 1.00e-04 | (1540.01 ms | 1330 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:07.535614 140203972669440 main.cc:388] step   14/20 | train loss 10.975163 | lr 1.00e-04 | (1526.86 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:09.078765 140203972669440 main.cc:388] step   15/20 | train loss 10.985239 | lr 1.00e-04 | (1543.06 ms | 1327 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:10.606573 140203972669440 main.cc:388] step   16/20 | train loss 10.980659 | lr 1.00e-04 | (1527.71 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:12.130341 140203972669440 main.cc:388] step   17/20 | train loss 10.975894 | lr 1.00e-04 | (1523.68 ms | 1344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:13.607770 140203972669440 main.cc:388] step   18/20 | train loss 10.950318 | lr 1.00e-04 | (1477.34 ms | 1386 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:14.955286 140203972669440 main.cc:388] step   19/20 | train loss 10.973335 | lr 1.00e-04 | (1347.43 ms | 1520 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:16.161785 140203972669440 main.cc:388] step   20/20 | train loss 10.977461 | lr 1.00e-04 | (1206.39 ms | 1698 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
