E20260316 00:44:57.074843 139717133717504 main.cc:388] step    1/20 | train loss 10.997727 | lr 1.00e-04 | (2498.38 ms | 820 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:58.479247 139717133717504 main.cc:388] step    2/20 | train loss 10.981378 | lr 1.00e-04 | (1403.54 ms | 1459 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:44:59.875851 139717133717504 main.cc:388] step    3/20 | train loss nan | lr 1.00e-04 | (1396.48 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:01.271953 139717133717504 main.cc:388] step    4/20 | train loss nan | lr 1.00e-04 | (1395.98 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:02.668364 139717133717504 main.cc:388] step    5/20 | train loss nan | lr 1.00e-04 | (1396.27 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:04.063971 139717133717504 main.cc:388] step    6/20 | train loss nan | lr 1.00e-04 | (1395.50 ms | 1468 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:05.459614 139717133717504 main.cc:388] step    7/20 | train loss nan | lr 1.00e-04 | (1395.51 ms | 1468 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:06.855864 139717133717504 main.cc:388] step    8/20 | train loss nan | lr 1.00e-04 | (1396.12 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:08.251885 139717133717504 main.cc:388] step    9/20 | train loss nan | lr 1.00e-04 | (1395.89 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:09.647650 139717133717504 main.cc:388] step   10/20 | train loss nan | lr 1.00e-04 | (1395.62 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:11.044129 139717133717504 main.cc:388] step   11/20 | train loss nan | lr 1.00e-04 | (1396.35 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:12.440110 139717133717504 main.cc:388] step   12/20 | train loss nan | lr 1.00e-04 | (1395.85 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:13.835894 139717133717504 main.cc:388] step   13/20 | train loss nan | lr 1.00e-04 | (1395.67 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:15.231978 139717133717504 main.cc:388] step   14/20 | train loss nan | lr 1.00e-04 | (1395.94 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:16.627709 139717133717504 main.cc:388] step   15/20 | train loss nan | lr 1.00e-04 | (1395.62 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:18.024139 139717133717504 main.cc:388] step   16/20 | train loss nan | lr 1.00e-04 | (1396.31 ms | 1467 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:19.419524 139717133717504 main.cc:388] step   17/20 | train loss nan | lr 1.00e-04 | (1395.26 ms | 1468 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:20.828878 139717133717504 main.cc:388] step   18/20 | train loss nan | lr 1.00e-04 | (1409.23 ms | 1453 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:22.287070 139717133717504 main.cc:388] step   19/20 | train loss nan | lr 1.00e-04 | (1458.07 ms | 1405 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 00:45:23.743051 139717133717504 main.cc:388] step   20/20 | train loss nan | lr 1.00e-04 | (1455.85 ms | 1407 tok/s | peak used:  6346 MB | peak reserved:  6432 MB, DP=1, TP=1, SP=1, PP=1)
