E20260316 11:41:43.423114 140485139935232 main.cc:388] step    1/20 | train loss 10.965980 | lr 1.00e-04 | (3288.86 ms | 1245 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:45.279503 140485139935232 main.cc:388] step    2/20 | train loss 10.972226 | lr 1.00e-04 | (1855.83 ms | 2207 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:47.136749 140485139935232 main.cc:388] step    3/20 | train loss 10.967397 | lr 1.00e-04 | (1857.16 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:48.993156 140485139935232 main.cc:388] step    4/20 | train loss 10.963419 | lr 1.00e-04 | (1856.31 ms | 2207 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:50.851961 140485139935232 main.cc:388] step    5/20 | train loss 10.987299 | lr 1.00e-04 | (1858.68 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:52.709739 140485139935232 main.cc:388] step    6/20 | train loss 10.968068 | lr 1.00e-04 | (1857.70 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:54.567286 140485139935232 main.cc:388] step    7/20 | train loss 10.972883 | lr 1.00e-04 | (1857.46 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:56.426006 140485139935232 main.cc:388] step    8/20 | train loss 10.953210 | lr 1.00e-04 | (1858.63 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:41:58.282821 140485139935232 main.cc:388] step    9/20 | train loss 10.975239 | lr 1.00e-04 | (1856.72 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:00.139020 140485139935232 main.cc:388] step   10/20 | train loss 10.962570 | lr 1.00e-04 | (1856.10 ms | 2207 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:01.996484 140485139935232 main.cc:388] step   11/20 | train loss 10.950356 | lr 1.00e-04 | (1857.36 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:03.855651 140485139935232 main.cc:388] step   12/20 | train loss 10.960155 | lr 1.00e-04 | (1859.06 ms | 2203 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:05.713252 140485139935232 main.cc:388] step   13/20 | train loss 10.965005 | lr 1.00e-04 | (1857.51 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:07.570200 140485139935232 main.cc:388] step   14/20 | train loss 10.977185 | lr 1.00e-04 | (1856.85 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:09.427348 140485139935232 main.cc:388] step   15/20 | train loss 10.970708 | lr 1.00e-04 | (1857.04 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:11.284876 140485139935232 main.cc:388] step   16/20 | train loss 10.960181 | lr 1.00e-04 | (1857.43 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:13.142234 140485139935232 main.cc:388] step   17/20 | train loss 10.969566 | lr 1.00e-04 | (1857.24 ms | 2205 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:14.999254 140485139935232 main.cc:388] step   18/20 | train loss 10.932952 | lr 1.00e-04 | (1856.92 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:16.857615 140485139935232 main.cc:388] step   19/20 | train loss 10.952276 | lr 1.00e-04 | (1858.25 ms | 2204 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 11:42:18.714574 140485139935232 main.cc:388] step   20/20 | train loss 10.965372 | lr 1.00e-04 | (1856.87 ms | 2206 tok/s | peak used: 13877 MB | peak reserved: 14048 MB, DP=1, TP=1, SP=1, PP=1)
