E20260316 13:13:44.266217 140513405239296 main.cc:388] step    1/20 | train loss 11.030411 | lr 1.00e-04 | (4834.89 ms | 424 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:45.477696 140513405239296 main.cc:388] step    2/20 | train loss 11.028591 | lr 1.00e-04 | (1210.95 ms | 1691 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:46.825235 140513405239296 main.cc:388] step    3/20 | train loss 10.995248 | lr 1.00e-04 | (1347.42 ms | 1520 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:48.300416 140513405239296 main.cc:388] step    4/20 | train loss 11.017059 | lr 1.00e-04 | (1475.07 ms | 1388 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:49.823989 140513405239296 main.cc:388] step    5/20 | train loss 11.009697 | lr 1.00e-04 | (1523.47 ms | 1344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:51.349525 140513405239296 main.cc:388] step    6/20 | train loss 10.989968 | lr 1.00e-04 | (1525.44 ms | 1343 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:52.872213 140513405239296 main.cc:388] step    7/20 | train loss 11.025426 | lr 1.00e-04 | (1522.59 ms | 1345 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:54.399874 140513405239296 main.cc:388] step    8/20 | train loss 10.994943 | lr 1.00e-04 | (1527.55 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:55.928537 140513405239296 main.cc:388] step    9/20 | train loss 11.022162 | lr 1.00e-04 | (1528.51 ms | 1340 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:57.459620 140513405239296 main.cc:388] step   10/20 | train loss 11.005239 | lr 1.00e-04 | (1530.95 ms | 1338 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:13:58.977076 140513405239296 main.cc:388] step   11/20 | train loss 10.984508 | lr 1.00e-04 | (1517.34 ms | 1350 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:00.489572 140513405239296 main.cc:388] step   12/20 | train loss 10.986010 | lr 1.00e-04 | (1512.39 ms | 1354 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:02.014117 140513405239296 main.cc:388] step   13/20 | train loss 10.986102 | lr 1.00e-04 | (1524.44 ms | 1343 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:03.536477 140513405239296 main.cc:388] step   14/20 | train loss 11.006239 | lr 1.00e-04 | (1522.22 ms | 1345 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:05.061452 140513405239296 main.cc:388] step   15/20 | train loss 10.982635 | lr 1.00e-04 | (1524.88 ms | 1343 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:06.588695 140513405239296 main.cc:388] step   16/20 | train loss 11.017637 | lr 1.00e-04 | (1527.12 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:08.112090 140513405239296 main.cc:388] step   17/20 | train loss 10.984888 | lr 1.00e-04 | (1523.30 ms | 1344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:09.641501 140513405239296 main.cc:388] step   18/20 | train loss 11.008342 | lr 1.00e-04 | (1529.30 ms | 1339 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:11.165185 140513405239296 main.cc:388] step   19/20 | train loss 11.002316 | lr 1.00e-04 | (1523.57 ms | 1344 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 13:14:12.692979 140513405239296 main.cc:388] step   20/20 | train loss 10.991837 | lr 1.00e-04 | (1527.69 ms | 1341 tok/s | peak used:  7530 MB | peak reserved:  7680 MB, DP=1, TP=1, SP=1, PP=1)
