[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260316 09:27:06.957348 140395855785984 main.cc:389] step    1/30 | train loss 4.365040 | lr 1.00e-04 | (2263.39 ms | 905 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:07.387993 140395855785984 main.cc:389] step    2/30 | train loss 4.557277 | lr 1.00e-04 | (430.18 ms | 4761 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:07.922546 140395855785984 main.cc:389] step    3/30 | train loss 4.450735 | lr 1.00e-04 | (534.43 ms | 3832 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:08.447179 140395855785984 main.cc:389] step    4/30 | train loss 4.442948 | lr 1.00e-04 | (524.50 ms | 3905 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:08.972948 140395855785984 main.cc:389] step    5/30 | train loss 4.604652 | lr 1.00e-04 | (525.62 ms | 3896 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:09.499992 140395855785984 main.cc:389] step    6/30 | train loss 4.318797 | lr 1.00e-04 | (526.93 ms | 3887 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:10.026451 140395855785984 main.cc:389] step    7/30 | train loss 4.435584 | lr 1.00e-04 | (526.30 ms | 3891 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:10.553314 140395855785984 main.cc:389] step    8/30 | train loss 4.207355 | lr 1.00e-04 | (526.75 ms | 3888 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:11.087274 140395855785984 main.cc:389] step    9/30 | train loss 4.033573 | lr 1.00e-04 | (533.85 ms | 3836 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:11.614458 140395855785984 main.cc:389] step   10/30 | train loss 3.912742 | lr 1.00e-04 | (527.07 ms | 3886 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:12.141283 140395855785984 main.cc:389] step   11/30 | train loss 4.170687 | lr 1.00e-04 | (526.69 ms | 3888 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:12.667517 140395855785984 main.cc:389] step   12/30 | train loss 4.136872 | lr 1.00e-04 | (526.11 ms | 3893 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:13.193694 140395855785984 main.cc:389] step   13/30 | train loss 4.130719 | lr 1.00e-04 | (526.07 ms | 3893 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:13.719685 140395855785984 main.cc:389] step   14/30 | train loss 3.906441 | lr 1.00e-04 | (525.88 ms | 3894 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:14.254105 140395855785984 main.cc:389] step   15/30 | train loss 4.148903 | lr 1.00e-04 | (534.29 ms | 3833 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:14.779935 140395855785984 main.cc:389] step   16/30 | train loss 4.048701 | lr 1.00e-04 | (525.73 ms | 3896 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:15.306679 140395855785984 main.cc:389] step   17/30 | train loss 3.953269 | lr 1.00e-04 | (526.62 ms | 3889 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:15.832961 140395855785984 main.cc:389] step   18/30 | train loss 3.846024 | lr 1.00e-04 | (526.18 ms | 3892 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:16.358954 140395855785984 main.cc:389] step   19/30 | train loss 4.018009 | lr 1.00e-04 | (525.85 ms | 3895 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:16.884633 140395855785984 main.cc:389] step   20/30 | train loss 3.975643 | lr 1.00e-04 | (525.53 ms | 3897 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:17.411569 140395855785984 main.cc:389] step   21/30 | train loss 4.287422 | lr 1.00e-04 | (526.82 ms | 3887 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:27:17.937786 140395855785984 main.cc:389] step   22/30 | train loss 4.166678 | lr 1.00e-04 | (526.10 ms | 3893 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
