[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true
E20260316 09:24:10.483101 139739820244992 main.cc:389] step    1/30 | train loss 4.365074 | lr 1.00e-04 | (2705.85 ms | 757 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:11.073012 139739820244992 main.cc:389] step    2/30 | train loss 4.562263 | lr 1.00e-04 | (589.25 ms | 3476 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:11.663320 139739820244992 main.cc:389] step    3/30 | train loss 4.453940 | lr 1.00e-04 | (590.18 ms | 3470 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:12.252143 139739820244992 main.cc:389] step    4/30 | train loss 4.440344 | lr 1.00e-04 | (588.72 ms | 3479 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:12.842219 139739820244992 main.cc:389] step    5/30 | train loss 4.603343 | lr 1.00e-04 | (589.92 ms | 3472 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:13.432368 139739820244992 main.cc:389] step    6/30 | train loss 4.321739 | lr 1.00e-04 | (590.04 ms | 3471 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:14.020806 139739820244992 main.cc:389] step    7/30 | train loss 4.432739 | lr 1.00e-04 | (588.35 ms | 3481 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:14.609625 139739820244992 main.cc:389] step    8/30 | train loss 4.214342 | lr 1.00e-04 | (588.72 ms | 3479 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:15.199395 139739820244992 main.cc:389] step    9/30 | train loss 4.031869 | lr 1.00e-04 | (589.69 ms | 3473 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:15.788485 139739820244992 main.cc:389] step   10/30 | train loss 3.912223 | lr 1.00e-04 | (589.00 ms | 3477 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:16.377273 139739820244992 main.cc:389] step   11/30 | train loss 4.175783 | lr 1.00e-04 | (588.70 ms | 3479 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:16.967499 139739820244992 main.cc:389] step   12/30 | train loss 4.135206 | lr 1.00e-04 | (590.12 ms | 3471 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:17.557756 139739820244992 main.cc:389] step   13/30 | train loss 4.138605 | lr 1.00e-04 | (590.12 ms | 3470 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:18.147415 139739820244992 main.cc:389] step   14/30 | train loss 3.907121 | lr 1.00e-04 | (589.54 ms | 3474 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:18.736737 139739820244992 main.cc:389] step   15/30 | train loss 4.146463 | lr 1.00e-04 | (589.19 ms | 3476 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:19.326744 139739820244992 main.cc:389] step   16/30 | train loss 4.041124 | lr 1.00e-04 | (589.89 ms | 3472 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:19.915462 139739820244992 main.cc:389] step   17/30 | train loss 3.949549 | lr 1.00e-04 | (588.61 ms | 3479 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:24:20.504279 139739820244992 main.cc:389] step   18/30 | train loss 3.841014 | lr 1.00e-04 | (588.72 ms | 3479 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
