[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 128 --total_batch_size 512 --overfit_single_batch true --flash true
E20260316 09:23:24.464149 140334849839104 main.cc:365] step    1/30 | train loss 4.538392 | lr 1.00e-05 | (3112.98 ms | 164 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:25.497222 140334849839104 main.cc:365] step    2/30 | train loss 4.390502 | lr 1.00e-05 | (1032.75 ms | 496 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:26.634200 140334849839104 main.cc:365] step    3/30 | train loss 4.099694 | lr 1.00e-05 | (1136.84 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:27.770433 140334849839104 main.cc:365] step    4/30 | train loss 3.906697 | lr 1.00e-05 | (1136.12 ms | 451 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:28.909070 140334849839104 main.cc:365] step    5/30 | train loss 3.672888 | lr 1.00e-05 | (1138.50 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:30.046709 140334849839104 main.cc:365] step    6/30 | train loss 3.850330 | lr 1.00e-05 | (1137.51 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:31.184310 140334849839104 main.cc:365] step    7/30 | train loss 3.555029 | lr 1.00e-05 | (1137.50 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:32.323037 140334849839104 main.cc:365] step    8/30 | train loss 3.587444 | lr 1.00e-05 | (1138.59 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:33.469050 140334849839104 main.cc:365] step    9/30 | train loss 3.508160 | lr 1.00e-05 | (1145.89 ms | 447 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:34.606362 140334849839104 main.cc:365] step   10/30 | train loss 3.819187 | lr 1.00e-05 | (1137.21 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:23:35.743881 140334849839104 main.cc:365] step   11/30 | train loss 3.959575 | lr 1.00e-05 | (1137.40 ms | 450 tok/s | peak used: 26009 MB | peak reserved: 26112 MB, DP=1, TP=1, SP=1, PP=1)
