[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 128 --total_batch_size 512 --overfit_single_batch true
E20260316 09:22:02.258663 140119854010368 main.cc:365] step    1/30 | train loss 4.537171 | lr 1.00e-05 | (2994.03 ms | 171 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:03.405710 140119854010368 main.cc:365] step    2/30 | train loss 4.387153 | lr 1.00e-05 | (1146.76 ms | 446 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:04.551438 140119854010368 main.cc:365] step    3/30 | train loss 4.100450 | lr 1.00e-05 | (1145.61 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:05.697287 140119854010368 main.cc:365] step    4/30 | train loss 3.905292 | lr 1.00e-05 | (1145.74 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:06.844205 140119854010368 main.cc:365] step    5/30 | train loss 3.675370 | lr 1.00e-05 | (1146.83 ms | 446 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:07.989516 140119854010368 main.cc:365] step    6/30 | train loss 3.854340 | lr 1.00e-05 | (1145.20 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:09.134678 140119854010368 main.cc:365] step    7/30 | train loss 3.550768 | lr 1.00e-05 | (1145.06 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:10.280667 140119854010368 main.cc:365] step    8/30 | train loss 3.590117 | lr 1.00e-05 | (1145.90 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:11.426120 140119854010368 main.cc:365] step    9/30 | train loss 3.506917 | lr 1.00e-05 | (1145.35 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:12.572487 140119854010368 main.cc:365] step   10/30 | train loss 3.820512 | lr 1.00e-05 | (1146.24 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 09:22:13.718051 140119854010368 main.cc:365] step   11/30 | train loss 3.961696 | lr 1.00e-05 | (1145.47 ms | 447 tok/s | peak used: 26193 MB | peak reserved: 26336 MB, DP=1, TP=1, SP=1, PP=1)
