[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 2 --sequence_length 1024 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260316 10:21:16.328242 140212359385088 main.cc:389] step    1/30 | train loss 4.265123 | lr 1.00e-04 | (2248.60 ms | 911 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:16.765798 140212359385088 main.cc:389] step    2/30 | train loss 4.414880 | lr 1.00e-04 | (437.12 ms | 4685 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:17.319736 140212359385088 main.cc:389] step    3/30 | train loss 4.355790 | lr 1.00e-04 | (553.84 ms | 3698 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:17.880715 140212359385088 main.cc:389] step    4/30 | train loss 4.343102 | lr 1.00e-04 | (560.86 ms | 3652 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:18.450013 140212359385088 main.cc:389] step    5/30 | train loss 4.545915 | lr 1.00e-04 | (569.20 ms | 3598 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:19.003466 140212359385088 main.cc:389] step    6/30 | train loss 4.259978 | lr 1.00e-04 | (553.34 ms | 3701 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:19.564443 140212359385088 main.cc:389] step    7/30 | train loss 4.323742 | lr 1.00e-04 | (560.87 ms | 3651 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:20.118272 140212359385088 main.cc:389] step    8/30 | train loss 4.153376 | lr 1.00e-04 | (553.72 ms | 3699 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:20.686966 140212359385088 main.cc:389] step    9/30 | train loss 3.937598 | lr 1.00e-04 | (568.59 ms | 3602 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:21.241902 140212359385088 main.cc:389] step   10/30 | train loss 3.841983 | lr 1.00e-04 | (554.83 ms | 3691 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:21.802926 140212359385088 main.cc:389] step   11/30 | train loss 4.062018 | lr 1.00e-04 | (560.91 ms | 3651 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:22.356645 140212359385088 main.cc:389] step   12/30 | train loss 4.054100 | lr 1.00e-04 | (553.60 ms | 3699 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:22.902157 140212359385088 main.cc:389] step   13/30 | train loss 4.075943 | lr 1.00e-04 | (545.41 ms | 3755 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:23.463013 140212359385088 main.cc:389] step   14/30 | train loss 3.791036 | lr 1.00e-04 | (560.75 ms | 3652 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:24.024531 140212359385088 main.cc:389] step   15/30 | train loss 4.062411 | lr 1.00e-04 | (561.41 ms | 3648 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:21:24.578827 140212359385088 main.cc:389] step   16/30 | train loss 3.943891 | lr 1.00e-04 | (554.20 ms | 3695 tok/s | peak used:  5897 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
