[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 2 --sequence_length 1024 --total_batch_size 2048 --overfit_single_batch true
E20260316 10:18:09.568854 140042396721152 main.cc:389] step    1/30 | train loss 4.271821 | lr 1.00e-04 | (2918.54 ms | 702 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:10.239706 140042396721152 main.cc:389] step    2/30 | train loss 4.410565 | lr 1.00e-04 | (670.08 ms | 3056 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:10.911446 140042396721152 main.cc:389] step    3/30 | train loss 4.358472 | lr 1.00e-04 | (671.63 ms | 3049 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:11.583023 140042396721152 main.cc:389] step    4/30 | train loss 4.347531 | lr 1.00e-04 | (671.46 ms | 3050 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:12.246681 140042396721152 main.cc:389] step    5/30 | train loss 4.551109 | lr 1.00e-04 | (663.54 ms | 3086 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:12.917458 140042396721152 main.cc:389] step    6/30 | train loss 4.257138 | lr 1.00e-04 | (670.64 ms | 3054 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:13.588322 140042396721152 main.cc:389] step    7/30 | train loss 4.325721 | lr 1.00e-04 | (670.76 ms | 3053 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:14.251614 140042396721152 main.cc:389] step    8/30 | train loss 4.154839 | lr 1.00e-04 | (663.18 ms | 3088 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:14.921390 140042396721152 main.cc:389] step    9/30 | train loss 3.936642 | lr 1.00e-04 | (669.66 ms | 3058 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:15.584932 140042396721152 main.cc:389] step   10/30 | train loss 3.848231 | lr 1.00e-04 | (663.42 ms | 3087 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:16.257325 140042396721152 main.cc:389] step   11/30 | train loss 4.065167 | lr 1.00e-04 | (672.28 ms | 3046 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:16.920204 140042396721152 main.cc:389] step   12/30 | train loss 4.048553 | lr 1.00e-04 | (662.73 ms | 3090 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:17.592482 140042396721152 main.cc:389] step   13/30 | train loss 4.077974 | lr 1.00e-04 | (672.14 ms | 3047 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:18.255274 140042396721152 main.cc:389] step   14/30 | train loss 3.796817 | lr 1.00e-04 | (662.68 ms | 3090 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:18.927222 140042396721152 main.cc:389] step   15/30 | train loss 4.066287 | lr 1.00e-04 | (671.84 ms | 3048 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:19.598892 140042396721152 main.cc:389] step   16/30 | train loss 3.939469 | lr 1.00e-04 | (671.55 ms | 3050 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:20.270169 140042396721152 main.cc:389] step   17/30 | train loss 3.817449 | lr 1.00e-04 | (671.15 ms | 3051 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:20.941523 140042396721152 main.cc:389] step   18/30 | train loss 3.722310 | lr 1.00e-04 | (671.24 ms | 3051 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:21.612838 140042396721152 main.cc:389] step   19/30 | train loss 3.926991 | lr 1.00e-04 | (671.21 ms | 3051 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:22.284062 140042396721152 main.cc:389] step   20/30 | train loss 3.863774 | lr 1.00e-04 | (671.07 ms | 3052 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:22.947781 140042396721152 main.cc:389] step   21/30 | train loss 4.207040 | lr 1.00e-04 | (663.57 ms | 3086 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:23.619983 140042396721152 main.cc:389] step   22/30 | train loss 4.083672 | lr 1.00e-04 | (672.06 ms | 3047 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:24.282971 140042396721152 main.cc:389] step   23/30 | train loss 4.070865 | lr 1.00e-04 | (662.87 ms | 3090 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:24.953802 140042396721152 main.cc:389] step   24/30 | train loss 3.745511 | lr 1.00e-04 | (670.73 ms | 3053 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:25.624965 140042396721152 main.cc:389] step   25/30 | train loss 4.110864 | lr 1.00e-04 | (671.06 ms | 3052 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:26.288586 140042396721152 main.cc:389] step   26/30 | train loss 3.728574 | lr 1.00e-04 | (663.48 ms | 3087 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:26.958966 140042396721152 main.cc:389] step   27/30 | train loss 3.611537 | lr 1.00e-04 | (670.27 ms | 3055 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:27.630542 140042396721152 main.cc:389] step   28/30 | train loss 3.669097 | lr 1.00e-04 | (671.45 ms | 3050 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:28.294251 140042396721152 main.cc:389] step   29/30 | train loss 4.048546 | lr 1.00e-04 | (663.56 ms | 3086 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:18:28.957020 140042396721152 main.cc:389] step   30/30 | train loss 3.987130 | lr 1.00e-04 | (662.63 ms | 3091 tok/s | peak used:  7333 MB | peak reserved:  7584 MB, DP=1, TP=1, SP=1, PP=1)
