[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 2 --sequence_length 1024 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260316 10:22:07.804110 139974410022912 main.cc:365] step    1/30 | train loss 4.376817 | lr 1.00e-05 | (7962.44 ms | 257 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:11.418915 139974410022912 main.cc:365] step    2/30 | train loss 3.966398 | lr 1.00e-05 | (3614.42 ms | 567 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:15.379455 139974410022912 main.cc:365] step    3/30 | train loss 3.817103 | lr 1.00e-05 | (3960.37 ms | 517 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:19.342772 139974410022912 main.cc:365] step    4/30 | train loss 3.521715 | lr 1.00e-05 | (3963.17 ms | 517 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:23.312243 139974410022912 main.cc:365] step    5/30 | train loss 3.534721 | lr 1.00e-05 | (3969.33 ms | 516 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:27.265168 139974410022912 main.cc:365] step    6/30 | train loss 3.400767 | lr 1.00e-05 | (3952.78 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:31.215669 139974410022912 main.cc:365] step    7/30 | train loss 3.203413 | lr 1.00e-05 | (3950.38 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:35.166750 139974410022912 main.cc:365] step    8/30 | train loss 3.161286 | lr 1.00e-05 | (3950.98 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:39.117562 139974410022912 main.cc:365] step    9/30 | train loss 3.297283 | lr 1.00e-05 | (3950.71 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:43.068159 139974410022912 main.cc:365] step   10/30 | train loss 3.313174 | lr 1.00e-05 | (3950.48 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:47.028408 139974410022912 main.cc:365] step   11/30 | train loss 3.128057 | lr 1.00e-05 | (3960.08 ms | 517 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:50.963208 139974410022912 main.cc:365] step   12/30 | train loss 3.139019 | lr 1.00e-05 | (3934.66 ms | 521 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:54.913934 139974410022912 main.cc:365] step   13/30 | train loss 3.230546 | lr 1.00e-05 | (3950.59 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:22:58.864808 139974410022912 main.cc:365] step   14/30 | train loss 3.157692 | lr 1.00e-05 | (3950.77 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:02.816495 139974410022912 main.cc:365] step   15/30 | train loss 3.032950 | lr 1.00e-05 | (3951.59 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:06.767788 139974410022912 main.cc:365] step   16/30 | train loss 3.151838 | lr 1.00e-05 | (3951.17 ms | 518 tok/s | peak used: 35428 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:10.720375 139974410022912 main.cc:365] step   17/30 | train loss 3.065846 | lr 1.00e-05 | (3952.48 ms | 518 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:14.679571 139974410022912 main.cc:365] step   18/30 | train loss 3.414689 | lr 1.00e-05 | (3959.06 ms | 517 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:18.661023 139974410022912 main.cc:365] step   19/30 | train loss 3.397425 | lr 1.00e-05 | (3981.32 ms | 514 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:22.622384 139974410022912 main.cc:365] step   20/30 | train loss 3.115479 | lr 1.00e-05 | (3961.19 ms | 517 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:26.990632 139974410022912 main.cc:365] step   21/30 | train loss 3.166098 | lr 1.00e-05 | (4368.13 ms | 469 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:30.935952 139974410022912 main.cc:365] step   22/30 | train loss 3.253241 | lr 1.00e-05 | (3945.21 ms | 519 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:34.878718 139974410022912 main.cc:365] step   23/30 | train loss 3.049716 | lr 1.00e-05 | (3942.66 ms | 519 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:38.827343 139974410022912 main.cc:365] step   24/30 | train loss 3.034654 | lr 1.00e-05 | (3948.51 ms | 519 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:42.772313 139974410022912 main.cc:365] step   25/30 | train loss 3.161389 | lr 1.00e-05 | (3944.87 ms | 519 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:46.722972 139974410022912 main.cc:365] step   26/30 | train loss 3.104036 | lr 1.00e-05 | (3950.54 ms | 518 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:23:50.673252 139974410022912 main.cc:365] step   27/30 | train loss 3.188427 | lr 1.00e-05 | (3950.13 ms | 518 tok/s | peak used: 35429 MB | peak reserved: 35680 MB, DP=1, TP=1, SP=1, PP=1)
