[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 2 --sequence_length 1024 --total_batch_size 2048 --overfit_single_batch true
E20260316 10:19:05.598062 140469268463616 main.cc:365] step    1/30 | train loss 4.376144 | lr 1.00e-05 | (7971.99 ms | 257 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:09.122642 140469268463616 main.cc:365] step    2/30 | train loss 3.967294 | lr 1.00e-05 | (3524.21 ms | 581 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:13.213953 140469268463616 main.cc:365] step    3/30 | train loss 3.815810 | lr 1.00e-05 | (4091.16 ms | 501 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:17.305718 140469268463616 main.cc:365] step    4/30 | train loss 3.521735 | lr 1.00e-05 | (4091.65 ms | 501 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:21.389340 140469268463616 main.cc:365] step    5/30 | train loss 3.534976 | lr 1.00e-05 | (4083.48 ms | 502 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:25.481938 140469268463616 main.cc:365] step    6/30 | train loss 3.398818 | lr 1.00e-05 | (4092.43 ms | 500 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:29.574186 140469268463616 main.cc:365] step    7/30 | train loss 3.205896 | lr 1.00e-05 | (4092.12 ms | 500 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:33.658405 140469268463616 main.cc:365] step    8/30 | train loss 3.159683 | lr 1.00e-05 | (4084.10 ms | 501 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:37.758958 140469268463616 main.cc:365] step    9/30 | train loss 3.301961 | lr 1.00e-05 | (4100.44 ms | 499 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:41.843005 140469268463616 main.cc:365] step   10/30 | train loss 3.313376 | lr 1.00e-05 | (4083.91 ms | 501 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:19:45.927605 140469268463616 main.cc:365] step   11/30 | train loss 3.128303 | lr 1.00e-05 | (4084.45 ms | 501 tok/s | peak used: 39752 MB | peak reserved: 41120 MB, DP=1, TP=1, SP=1, PP=1)
