E20260316 10:31:38.452967 139652297641984 main.cc:365] step    1/30 | train loss 4.459997 | lr 1.00e-05 | (13224.90 ms | 310 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:31:44.834550 139652297641984 main.cc:365] step    2/30 | train loss 3.941511 | lr 1.00e-05 | (6381.29 ms | 642 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:31:52.687024 139652297641984 main.cc:365] step    3/30 | train loss 3.716741 | lr 1.00e-05 | (7852.37 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:00.532681 139652297641984 main.cc:365] step    4/30 | train loss 3.455646 | lr 1.00e-05 | (7845.57 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:08.371003 139652297641984 main.cc:365] step    5/30 | train loss 3.446883 | lr 1.00e-05 | (7838.22 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:16.214128 139652297641984 main.cc:365] step    6/30 | train loss 3.246725 | lr 1.00e-05 | (7843.02 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:24.050848 139652297641984 main.cc:365] step    7/30 | train loss 3.275044 | lr 1.00e-05 | (7836.61 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:31.885879 139652297641984 main.cc:365] step    8/30 | train loss 3.216634 | lr 1.00e-05 | (7834.92 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:39.721872 139652297641984 main.cc:365] step    9/30 | train loss 3.335300 | lr 1.00e-05 | (7835.87 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:47.566934 139652297641984 main.cc:365] step   10/30 | train loss 3.326387 | lr 1.00e-05 | (7844.96 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:32:55.413642 139652297641984 main.cc:365] step   11/30 | train loss 3.282279 | lr 1.00e-05 | (7846.61 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:03.256702 139652297641984 main.cc:365] step   12/30 | train loss 3.137807 | lr 1.00e-05 | (7842.96 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:11.093366 139652297641984 main.cc:365] step   13/30 | train loss 3.214403 | lr 1.00e-05 | (7836.54 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:18.935947 139652297641984 main.cc:365] step   14/30 | train loss 3.377925 | lr 1.00e-05 | (7842.48 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:26.773052 139652297641984 main.cc:365] step   15/30 | train loss 3.298564 | lr 1.00e-05 | (7836.99 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:34.617567 139652297641984 main.cc:365] step   16/30 | train loss 3.428148 | lr 1.00e-05 | (7844.40 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:42.463305 139652297641984 main.cc:365] step   17/30 | train loss 3.292695 | lr 1.00e-05 | (7845.64 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:50.331950 139652297641984 main.cc:365] step   18/30 | train loss 3.306687 | lr 1.00e-05 | (7868.52 ms | 521 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:33:58.207983 139652297641984 main.cc:365] step   19/30 | train loss 3.243532 | lr 1.00e-05 | (7875.90 ms | 520 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:06.049131 139652297641984 main.cc:365] step   20/30 | train loss 3.132363 | lr 1.00e-05 | (7841.01 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:13.884991 139652297641984 main.cc:365] step   21/30 | train loss 3.089294 | lr 1.00e-05 | (7835.70 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:21.720059 139652297641984 main.cc:365] step   22/30 | train loss 3.187157 | lr 1.00e-05 | (7834.92 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:29.538728 139652297641984 main.cc:365] step   23/30 | train loss 3.347696 | lr 1.00e-05 | (7818.57 ms | 524 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:37.381850 139652297641984 main.cc:365] step   24/30 | train loss 3.317760 | lr 1.00e-05 | (7842.99 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:45.235158 139652297641984 main.cc:365] step   25/30 | train loss 3.088835 | lr 1.00e-05 | (7853.18 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:34:53.063235 139652297641984 main.cc:365] step   26/30 | train loss 3.135229 | lr 1.00e-05 | (7827.96 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:35:00.915288 139652297641984 main.cc:365] step   27/30 | train loss 3.089730 | lr 1.00e-05 | (7851.95 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:35:08.757564 139652297641984 main.cc:365] step   28/30 | train loss 3.036598 | lr 1.00e-05 | (7842.16 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:35:16.604036 139652297641984 main.cc:365] step   29/30 | train loss 3.040599 | lr 1.00e-05 | (7846.36 ms | 522 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:35:24.430662 139652297641984 main.cc:365] step   30/30 | train loss 3.132653 | lr 1.00e-05 | (7826.51 ms | 523 tok/s | peak used: 47988 MB | peak reserved: 48608 MB, DP=1, TP=1, SP=1, PP=1)
