E20260316 10:45:37.052261 140307987017728 main.cc:365] step    1/30 | train loss 4.946703 | lr 1.00e-05 | (11333.15 ms | 361 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:45:44.389926 140307987017728 main.cc:365] step    2/30 | train loss 4.175419 | lr 1.00e-05 | (7337.37 ms | 558 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:45:52.939361 140307987017728 main.cc:365] step    3/30 | train loss 3.977979 | lr 1.00e-05 | (8549.31 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:01.502360 140307987017728 main.cc:365] step    4/30 | train loss 3.669818 | lr 1.00e-05 | (8562.87 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:10.065696 140307987017728 main.cc:365] step    5/30 | train loss 3.645448 | lr 1.00e-05 | (8563.22 ms | 478 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:18.608118 140307987017728 main.cc:365] step    6/30 | train loss 3.339461 | lr 1.00e-05 | (8542.30 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:27.213633 140307987017728 main.cc:365] step    7/30 | train loss 3.349689 | lr 1.00e-05 | (8605.37 ms | 476 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:35.756903 140307987017728 main.cc:365] step    8/30 | train loss 3.310862 | lr 1.00e-05 | (8543.14 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:44.341894 140307987017728 main.cc:365] step    9/30 | train loss 3.449185 | lr 1.00e-05 | (8584.85 ms | 477 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:46:53.009969 140307987017728 main.cc:365] step   10/30 | train loss 3.362661 | lr 1.00e-05 | (8667.94 ms | 473 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
E20260316 10:47:01.554238 140307987017728 main.cc:365] step   11/30 | train loss 3.371710 | lr 1.00e-05 | (8544.14 ms | 479 tok/s | peak used: 47988 MB | peak reserved: 48544 MB, DP=1, TP=1, SP=1, PP=1)
