[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260315 23:12:21.854951 140596693946368 main.cc:389] step    1/30 | train loss 4.368838 | lr 1.00e-04 | (247.94 ms | 8260 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:21.936859 140596693946368 main.cc:389] step    2/30 | train loss 4.560387 | lr 1.00e-04 | (81.50 ms | 25128 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.050375 140596693946368 main.cc:389] step    3/30 | train loss 4.455573 | lr 1.00e-04 | (113.42 ms | 18057 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.163461 140596693946368 main.cc:389] step    4/30 | train loss 4.437566 | lr 1.00e-04 | (113.02 ms | 18120 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.276317 140596693946368 main.cc:389] step    5/30 | train loss 4.602356 | lr 1.00e-04 | (112.80 ms | 18157 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.389027 140596693946368 main.cc:389] step    6/30 | train loss 4.317698 | lr 1.00e-04 | (112.65 ms | 18180 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.501907 140596693946368 main.cc:389] step    7/30 | train loss 4.441182 | lr 1.00e-04 | (112.81 ms | 18155 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.614437 140596693946368 main.cc:389] step    8/30 | train loss 4.209675 | lr 1.00e-04 | (112.46 ms | 18210 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.727074 140596693946368 main.cc:389] step    9/30 | train loss 4.034085 | lr 1.00e-04 | (112.58 ms | 18192 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.839631 140596693946368 main.cc:389] step   10/30 | train loss 3.915443 | lr 1.00e-04 | (112.50 ms | 18205 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:22.952295 140596693946368 main.cc:389] step   11/30 | train loss 4.175889 | lr 1.00e-04 | (112.60 ms | 18188 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.065002 140596693946368 main.cc:389] step   12/30 | train loss 4.134087 | lr 1.00e-04 | (112.62 ms | 18184 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.177699 140596693946368 main.cc:389] step   13/30 | train loss 4.139842 | lr 1.00e-04 | (112.61 ms | 18187 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.290441 140596693946368 main.cc:389] step   14/30 | train loss 3.909243 | lr 1.00e-04 | (112.65 ms | 18181 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.403070 140596693946368 main.cc:389] step   15/30 | train loss 4.150700 | lr 1.00e-04 | (112.56 ms | 18194 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.515713 140596693946368 main.cc:389] step   16/30 | train loss 4.044354 | lr 1.00e-04 | (112.56 ms | 18194 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.628520 140596693946368 main.cc:389] step   17/30 | train loss 3.948667 | lr 1.00e-04 | (112.74 ms | 18165 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.741123 140596693946368 main.cc:389] step   18/30 | train loss 3.850521 | lr 1.00e-04 | (112.53 ms | 18199 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.853818 140596693946368 main.cc:389] step   19/30 | train loss 4.008117 | lr 1.00e-04 | (112.62 ms | 18185 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:23.966451 140596693946368 main.cc:389] step   20/30 | train loss 3.975663 | lr 1.00e-04 | (112.55 ms | 18197 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.078976 140596693946368 main.cc:389] step   21/30 | train loss 4.280431 | lr 1.00e-04 | (112.41 ms | 18219 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.191574 140596693946368 main.cc:389] step   22/30 | train loss 4.171991 | lr 1.00e-04 | (112.52 ms | 18202 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.304247 140596693946368 main.cc:389] step   23/30 | train loss 4.152542 | lr 1.00e-04 | (112.58 ms | 18191 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.416880 140596693946368 main.cc:389] step   24/30 | train loss 3.866749 | lr 1.00e-04 | (112.57 ms | 18193 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.529535 140596693946368 main.cc:389] step   25/30 | train loss 4.193254 | lr 1.00e-04 | (112.58 ms | 18192 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.642126 140596693946368 main.cc:389] step   26/30 | train loss 3.836302 | lr 1.00e-04 | (112.51 ms | 18203 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.755039 140596693946368 main.cc:389] step   27/30 | train loss 3.669549 | lr 1.00e-04 | (112.85 ms | 18148 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.867908 140596693946368 main.cc:389] step   28/30 | train loss 3.748543 | lr 1.00e-04 | (112.79 ms | 18157 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:24.980811 140596693946368 main.cc:389] step   29/30 | train loss 4.155129 | lr 1.00e-04 | (112.83 ms | 18150 tok/s | peak used:  5896 MB | peak reserved:  5952 MB, DP=1, TP=1, SP=1, PP=1)
