[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true
E20260315 23:11:25.577380 140595659640832 main.cc:389] step    1/30 | train loss 4.365074 | lr 1.00e-04 | (2216.94 ms | 924 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:25.653090 140595659640832 main.cc:389] step    2/30 | train loss 4.562263 | lr 1.00e-04 | (75.25 ms | 27215 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:25.779192 140595659640832 main.cc:389] step    3/30 | train loss 4.453940 | lr 1.00e-04 | (126.03 ms | 16250 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:25.905409 140595659640832 main.cc:389] step    4/30 | train loss 4.441335 | lr 1.00e-04 | (126.13 ms | 16237 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.031836 140595659640832 main.cc:389] step    5/30 | train loss 4.606764 | lr 1.00e-04 | (126.34 ms | 16210 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.157866 140595659640832 main.cc:389] step    6/30 | train loss 4.322142 | lr 1.00e-04 | (125.95 ms | 16261 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.284025 140595659640832 main.cc:389] step    7/30 | train loss 4.434989 | lr 1.00e-04 | (126.07 ms | 16245 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.410118 140595659640832 main.cc:389] step    8/30 | train loss 4.212919 | lr 1.00e-04 | (126.02 ms | 16251 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.536107 140595659640832 main.cc:389] step    9/30 | train loss 4.029851 | lr 1.00e-04 | (125.92 ms | 16265 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.662116 140595659640832 main.cc:389] step   10/30 | train loss 3.909846 | lr 1.00e-04 | (125.94 ms | 16262 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:26.788022 140595659640832 main.cc:389] step   11/30 | train loss 4.175590 | lr 1.00e-04 | (125.83 ms | 16275 tok/s | peak used:  6592 MB | peak reserved:  6912 MB, DP=1, TP=1, SP=1, PP=1)
