[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true --flash true
E20260315 23:12:45.420104 140323433963520 main.cc:365] step    1/30 | train loss 4.277314 | lr 1.00e-05 | (2807.03 ms | 730 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:46.120074 140323433963520 main.cc:365] step    2/30 | train loss 3.938666 | lr 1.00e-05 | (699.62 ms | 2927 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:46.972394 140323433963520 main.cc:365] step    3/30 | train loss 3.823876 | lr 1.00e-05 | (852.23 ms | 2403 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:47.825335 140323433963520 main.cc:365] step    4/30 | train loss 3.520579 | lr 1.00e-05 | (852.86 ms | 2401 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:48.677404 140323433963520 main.cc:365] step    5/30 | train loss 3.531528 | lr 1.00e-05 | (852.00 ms | 2404 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:49.525871 140323433963520 main.cc:365] step    6/30 | train loss 3.283704 | lr 1.00e-05 | (848.40 ms | 2414 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:50.373885 140323433963520 main.cc:365] step    7/30 | train loss 3.213518 | lr 1.00e-05 | (847.91 ms | 2415 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:51.223719 140323433963520 main.cc:365] step    8/30 | train loss 3.159157 | lr 1.00e-05 | (849.73 ms | 2410 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:52.073731 140323433963520 main.cc:365] step    9/30 | train loss 3.311764 | lr 1.00e-05 | (849.94 ms | 2410 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:52.922237 140323433963520 main.cc:365] step   10/30 | train loss 3.651403 | lr 1.00e-05 | (848.42 ms | 2414 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:53.773712 140323433963520 main.cc:365] step   11/30 | train loss 3.138653 | lr 1.00e-05 | (851.40 ms | 2405 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:54.625286 140323433963520 main.cc:365] step   12/30 | train loss 3.168049 | lr 1.00e-05 | (851.50 ms | 2405 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:55.477997 140323433963520 main.cc:365] step   13/30 | train loss 3.285290 | lr 1.00e-05 | (852.61 ms | 2402 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:56.331487 140323433963520 main.cc:365] step   14/30 | train loss 3.218005 | lr 1.00e-05 | (853.41 ms | 2400 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:57.183093 140323433963520 main.cc:365] step   15/30 | train loss 3.104675 | lr 1.00e-05 | (851.53 ms | 2405 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:58.034633 140323433963520 main.cc:365] step   16/30 | train loss 3.165714 | lr 1.00e-05 | (851.45 ms | 2405 tok/s | peak used: 35428 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:58.887026 140323433963520 main.cc:365] step   17/30 | train loss 3.105417 | lr 1.00e-05 | (852.28 ms | 2403 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:12:59.739890 140323433963520 main.cc:365] step   18/30 | train loss 3.481084 | lr 1.00e-05 | (852.77 ms | 2402 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:13:00.592583 140323433963520 main.cc:365] step   19/30 | train loss 3.432670 | lr 1.00e-05 | (852.58 ms | 2402 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:13:01.442602 140323433963520 main.cc:365] step   20/30 | train loss 3.164605 | lr 1.00e-05 | (849.91 ms | 2410 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:13:02.293600 140323433963520 main.cc:365] step   21/30 | train loss 3.236568 | lr 1.00e-05 | (850.91 ms | 2407 tok/s | peak used: 35429 MB | peak reserved: 35648 MB, DP=1, TP=1, SP=1, PP=1)
