[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 30 --batch_size 4 --sequence_length 512 --total_batch_size 2048 --overfit_single_batch true
E20260315 23:11:50.737270 140251769065472 main.cc:365] step    1/30 | train loss 4.275659 | lr 1.00e-05 | (3117.79 ms | 657 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:51.563088 140251769065472 main.cc:365] step    2/30 | train loss 3.939019 | lr 1.00e-05 | (825.50 ms | 2481 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:52.406491 140251769065472 main.cc:365] step    3/30 | train loss 3.823399 | lr 1.00e-05 | (843.30 ms | 2429 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:53.248886 140251769065472 main.cc:365] step    4/30 | train loss 3.522785 | lr 1.00e-05 | (842.29 ms | 2431 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:54.090512 140251769065472 main.cc:365] step    5/30 | train loss 3.530311 | lr 1.00e-05 | (841.51 ms | 2434 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:54.933328 140251769065472 main.cc:365] step    6/30 | train loss 3.324318 | lr 1.00e-05 | (842.71 ms | 2430 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:55.776873 140251769065472 main.cc:365] step    7/30 | train loss 3.212210 | lr 1.00e-05 | (843.44 ms | 2428 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:56.619399 140251769065472 main.cc:365] step    8/30 | train loss 3.152203 | lr 1.00e-05 | (842.40 ms | 2431 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:57.462182 140251769065472 main.cc:365] step    9/30 | train loss 3.293981 | lr 1.00e-05 | (842.67 ms | 2430 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:58.303894 140251769065472 main.cc:365] step   10/30 | train loss 3.670748 | lr 1.00e-05 | (841.61 ms | 2433 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 23:11:59.146580 140251769065472 main.cc:365] step   11/30 | train loss 3.134036 | lr 1.00e-05 | (842.58 ms | 2431 tok/s | peak used: 37701 MB | peak reserved: 38592 MB, DP=1, TP=1, SP=1, PP=1)
