[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false
E20260315 22:11:21.061069 140062918430720 main.cc:386] step    1/20 | train loss 4.477501 | lr 1.00e-04 | (173.76 ms | 5893 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.135591 140062918430720 main.cc:386] step    2/20 | train loss 4.463704 | lr 1.00e-04 | (74.15 ms | 13810 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.215181 140062918430720 main.cc:386] step    3/20 | train loss 4.753313 | lr 1.00e-04 | (79.53 ms | 12876 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.286385 140062918430720 main.cc:386] step    4/20 | train loss 4.613519 | lr 1.00e-04 | (71.12 ms | 14398 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.352795 140062918430720 main.cc:386] step    5/20 | train loss 4.617106 | lr 1.00e-04 | (66.34 ms | 15435 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.418986 140062918430720 main.cc:386] step    6/20 | train loss 4.463996 | lr 1.00e-04 | (66.13 ms | 15484 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.485246 140062918430720 main.cc:386] step    7/20 | train loss 4.389844 | lr 1.00e-04 | (66.20 ms | 15469 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.551474 140062918430720 main.cc:386] step    8/20 | train loss 4.598822 | lr 1.00e-04 | (66.16 ms | 15477 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.617737 140062918430720 main.cc:386] step    9/20 | train loss 4.740486 | lr 1.00e-04 | (66.20 ms | 15469 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.683863 140062918430720 main.cc:386] step   10/20 | train loss 4.568985 | lr 1.00e-04 | (66.07 ms | 15499 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.750037 140062918430720 main.cc:386] step   11/20 | train loss 4.355506 | lr 1.00e-04 | (66.10 ms | 15491 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.816277 140062918430720 main.cc:386] step   12/20 | train loss 4.391172 | lr 1.00e-04 | (66.18 ms | 15474 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.882536 140062918430720 main.cc:386] step   13/20 | train loss 4.509844 | lr 1.00e-04 | (66.20 ms | 15469 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:21.948737 140062918430720 main.cc:386] step   14/20 | train loss 4.488723 | lr 1.00e-04 | (66.13 ms | 15486 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.014982 140062918430720 main.cc:386] step   15/20 | train loss 4.416688 | lr 1.00e-04 | (66.19 ms | 15471 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.081224 140062918430720 main.cc:386] step   16/20 | train loss 4.138701 | lr 1.00e-04 | (66.18 ms | 15474 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.147497 140062918430720 main.cc:386] step   17/20 | train loss 4.292705 | lr 1.00e-04 | (66.19 ms | 15470 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.213619 140062918430720 main.cc:386] step   18/20 | train loss 3.811404 | lr 1.00e-04 | (66.05 ms | 15503 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.279870 140062918430720 main.cc:386] step   19/20 | train loss 3.679153 | lr 1.00e-04 | (66.19 ms | 15471 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:22.346113 140062918430720 main.cc:386] step   20/20 | train loss 4.056626 | lr 1.00e-04 | (66.16 ms | 15479 tok/s | peak used:  3795 MB | peak reserved:  3872 MB, DP=1, TP=1, SP=1, PP=1)
