[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype float32 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false
E20260315 22:08:27.606389 140074590973952 main.cc:386] step    1/20 | train loss 4.483156 | lr 1.00e-04 | (190.13 ms | 5386 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:27.673062 140074590973952 main.cc:386] step    2/20 | train loss 4.503329 | lr 1.00e-04 | (66.34 ms | 15436 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:27.749577 140074590973952 main.cc:386] step    3/20 | train loss 4.757261 | lr 1.00e-04 | (76.46 ms | 13392 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:27.826169 140074590973952 main.cc:386] step    4/20 | train loss 4.636917 | lr 1.00e-04 | (76.53 ms | 13380 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:27.902665 140074590973952 main.cc:386] step    5/20 | train loss 4.659206 | lr 1.00e-04 | (76.42 ms | 13400 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:27.979176 140074590973952 main.cc:386] step    6/20 | train loss 4.482120 | lr 1.00e-04 | (76.45 ms | 13394 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.055834 140074590973952 main.cc:386] step    7/20 | train loss 4.423459 | lr 1.00e-04 | (76.59 ms | 13370 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.132320 140074590973952 main.cc:386] step    8/20 | train loss 4.607663 | lr 1.00e-04 | (76.42 ms | 13399 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.208822 140074590973952 main.cc:386] step    9/20 | train loss 4.761525 | lr 1.00e-04 | (76.44 ms | 13395 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.285337 140074590973952 main.cc:386] step   10/20 | train loss 4.603327 | lr 1.00e-04 | (76.46 ms | 13393 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.361949 140074590973952 main.cc:386] step   11/20 | train loss 4.387358 | lr 1.00e-04 | (76.56 ms | 13376 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.438531 140074590973952 main.cc:386] step   12/20 | train loss 4.427566 | lr 1.00e-04 | (76.52 ms | 13382 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.515085 140074590973952 main.cc:386] step   13/20 | train loss 4.532487 | lr 1.00e-04 | (76.49 ms | 13387 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.591656 140074590973952 main.cc:386] step   14/20 | train loss 4.517913 | lr 1.00e-04 | (76.51 ms | 13383 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.668251 140074590973952 main.cc:386] step   15/20 | train loss 4.410148 | lr 1.00e-04 | (76.54 ms | 13379 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.744862 140074590973952 main.cc:386] step   16/20 | train loss 4.143576 | lr 1.00e-04 | (76.55 ms | 13377 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.821384 140074590973952 main.cc:386] step   17/20 | train loss 4.310309 | lr 1.00e-04 | (76.45 ms | 13394 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.898047 140074590973952 main.cc:386] step   18/20 | train loss 3.829127 | lr 1.00e-04 | (76.59 ms | 13370 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:28.974616 140074590973952 main.cc:386] step   19/20 | train loss 3.721048 | lr 1.00e-04 | (76.51 ms | 13384 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:08:29.051188 140074590973952 main.cc:386] step   20/20 | train loss 4.062876 | lr 1.00e-04 | (76.50 ms | 13385 tok/s | peak used:  3893 MB | peak reserved:  3936 MB, DP=1, TP=1, SP=1, PP=1)
