[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype bfloat16 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false --flash true
E20260315 22:11:58.402199 140494447300608 main.cc:386] step    1/20 | train loss 4.483012 | lr 1.00e-04 | (227.70 ms | 4497 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:58.525788 140494447300608 main.cc:386] step    2/20 | train loss nan | lr 1.00e-04 | (123.10 ms | 8318 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:58.642680 140494447300608 main.cc:386] step    3/20 | train loss nan | lr 1.00e-04 | (116.82 ms | 8765 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:58.759186 140494447300608 main.cc:386] step    4/20 | train loss nan | lr 1.00e-04 | (116.43 ms | 8795 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:58.875668 140494447300608 main.cc:386] step    5/20 | train loss nan | lr 1.00e-04 | (116.40 ms | 8797 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:58.991985 140494447300608 main.cc:386] step    6/20 | train loss nan | lr 1.00e-04 | (116.23 ms | 8810 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.108406 140494447300608 main.cc:386] step    7/20 | train loss nan | lr 1.00e-04 | (116.36 ms | 8800 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.224805 140494447300608 main.cc:386] step    8/20 | train loss nan | lr 1.00e-04 | (116.33 ms | 8803 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.341272 140494447300608 main.cc:386] step    9/20 | train loss nan | lr 1.00e-04 | (116.39 ms | 8798 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.457804 140494447300608 main.cc:386] step   10/20 | train loss nan | lr 1.00e-04 | (116.47 ms | 8792 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.574253 140494447300608 main.cc:386] step   11/20 | train loss nan | lr 1.00e-04 | (116.38 ms | 8799 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.690726 140494447300608 main.cc:386] step   12/20 | train loss nan | lr 1.00e-04 | (116.40 ms | 8797 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.807160 140494447300608 main.cc:386] step   13/20 | train loss nan | lr 1.00e-04 | (116.37 ms | 8800 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:59.923671 140494447300608 main.cc:386] step   14/20 | train loss nan | lr 1.00e-04 | (116.44 ms | 8794 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.040235 140494447300608 main.cc:386] step   15/20 | train loss nan | lr 1.00e-04 | (116.48 ms | 8792 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.156811 140494447300608 main.cc:386] step   16/20 | train loss nan | lr 1.00e-04 | (116.50 ms | 8789 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.273269 140494447300608 main.cc:386] step   17/20 | train loss nan | lr 1.00e-04 | (116.40 ms | 8798 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.389728 140494447300608 main.cc:386] step   18/20 | train loss nan | lr 1.00e-04 | (116.40 ms | 8797 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.506201 140494447300608 main.cc:386] step   19/20 | train loss nan | lr 1.00e-04 | (116.39 ms | 8798 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:00.622677 140494447300608 main.cc:386] step   20/20 | train loss nan | lr 1.00e-04 | (116.37 ms | 8800 tok/s | peak used:  3546 MB | peak reserved:  3584 MB, DP=1, TP=1, SP=1, PP=1)
