[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./gpt2 --input_bin /data/shared/InfiniTrain-dev/data/llmc/gpt2/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/gpt2/gpt2_124M.bin --device cuda --dtype float32 --num_iteration 20 --batch_size 2 --sequence_length 512 --total_batch_size 1024 --overfit_single_batch false --flash true
E20260315 22:10:31.967852 140640347738112 main.cc:386] step    1/20 | train loss 4.342500 | lr 1.00e-04 | (185.41 ms | 5523 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:32.157183 140640347738112 main.cc:386] step    2/20 | train loss 4.374830 | lr 1.00e-04 | (188.76 ms | 5425 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:32.346136 140640347738112 main.cc:386] step    3/20 | train loss 4.585914 | lr 1.00e-04 | (188.83 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:32.535049 140640347738112 main.cc:386] step    4/20 | train loss 4.495307 | lr 1.00e-04 | (188.81 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:32.723929 140640347738112 main.cc:386] step    5/20 | train loss 4.506935 | lr 1.00e-04 | (188.78 ms | 5424 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:32.912814 140640347738112 main.cc:386] step    6/20 | train loss 4.357512 | lr 1.00e-04 | (188.80 ms | 5424 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:33.101701 140640347738112 main.cc:386] step    7/20 | train loss 4.311591 | lr 1.00e-04 | (188.80 ms | 5424 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:33.290436 140640347738112 main.cc:386] step    8/20 | train loss 4.471256 | lr 1.00e-04 | (188.64 ms | 5428 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:33.479355 140640347738112 main.cc:386] step    9/20 | train loss 4.681375 | lr 1.00e-04 | (188.82 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:33.668240 140640347738112 main.cc:386] step   10/20 | train loss 4.466475 | lr 1.00e-04 | (188.75 ms | 5425 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:33.857234 140640347738112 main.cc:386] step   11/20 | train loss 4.260499 | lr 1.00e-04 | (188.89 ms | 5421 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.046158 140640347738112 main.cc:386] step   12/20 | train loss 4.336713 | lr 1.00e-04 | (188.81 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.235464 140640347738112 main.cc:386] step   13/20 | train loss 4.405612 | lr 1.00e-04 | (189.18 ms | 5413 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.424418 140640347738112 main.cc:386] step   14/20 | train loss 4.352191 | lr 1.00e-04 | (188.86 ms | 5422 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.613332 140640347738112 main.cc:386] step   15/20 | train loss 4.298434 | lr 1.00e-04 | (188.83 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.801552 140640347738112 main.cc:386] step   16/20 | train loss 3.989986 | lr 1.00e-04 | (188.12 ms | 5443 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:34.990421 140640347738112 main.cc:386] step   17/20 | train loss 4.210330 | lr 1.00e-04 | (188.76 ms | 5425 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:35.179352 140640347738112 main.cc:386] step   18/20 | train loss 3.656156 | lr 1.00e-04 | (188.82 ms | 5423 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:35.368434 140640347738112 main.cc:386] step   19/20 | train loss 3.605247 | lr 1.00e-04 | (188.98 ms | 5418 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:10:35.557266 140640347738112 main.cc:386] step   20/20 | train loss 4.010118 | lr 1.00e-04 | (188.72 ms | 5426 tok/s | peak used:  3771 MB | peak reserved:  3808 MB, DP=1, TP=1, SP=1, PP=1)
