[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false
E20260315 22:11:45.381811 139798108942336 main.cc:361] step    1/20 | train loss 4.374958 | lr 1.00e-05 | (2444.23 ms | 419 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:45.821373 139798108942336 main.cc:361] step    2/20 | train loss 4.212352 | lr 1.00e-05 | (439.19 ms | 2332 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:46.260344 139798108942336 main.cc:361] step    3/20 | train loss 3.817445 | lr 1.00e-05 | (438.86 ms | 2333 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:46.699789 139798108942336 main.cc:361] step    4/20 | train loss 3.703043 | lr 1.00e-05 | (439.34 ms | 2331 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:47.138921 139798108942336 main.cc:361] step    5/20 | train loss 3.561005 | lr 1.00e-05 | (438.62 ms | 2335 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:47.577072 139798108942336 main.cc:361] step    6/20 | train loss 3.929940 | lr 1.00e-05 | (438.05 ms | 2338 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:48.016177 139798108942336 main.cc:361] step    7/20 | train loss 3.621032 | lr 1.00e-05 | (439.01 ms | 2333 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:48.454611 139798108942336 main.cc:361] step    8/20 | train loss 3.323646 | lr 1.00e-05 | (438.33 ms | 2336 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:48.893439 139798108942336 main.cc:361] step    9/20 | train loss 3.536744 | lr 1.00e-05 | (438.73 ms | 2334 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:49.332612 139798108942336 main.cc:361] step   10/20 | train loss 3.533607 | lr 1.00e-05 | (439.09 ms | 2332 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:49.771153 139798108942336 main.cc:361] step   11/20 | train loss 3.531519 | lr 1.00e-05 | (438.46 ms | 2335 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:50.209554 139798108942336 main.cc:361] step   12/20 | train loss 3.388704 | lr 1.00e-05 | (438.30 ms | 2336 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:50.648353 139798108942336 main.cc:361] step   13/20 | train loss 3.444263 | lr 1.00e-05 | (438.71 ms | 2334 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:51.086634 139798108942336 main.cc:361] step   14/20 | train loss 3.155118 | lr 1.00e-05 | (438.20 ms | 2337 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:51.524774 139798108942336 main.cc:361] step   15/20 | train loss 2.955789 | lr 1.00e-05 | (438.06 ms | 2338 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:51.963678 139798108942336 main.cc:361] step   16/20 | train loss 3.426710 | lr 1.00e-05 | (438.78 ms | 2334 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:52.522532 139798108942336 main.cc:361] step   17/20 | train loss 3.360998 | lr 1.00e-05 | (558.74 ms | 1833 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:52.961463 139798108942336 main.cc:361] step   18/20 | train loss 3.268200 | lr 1.00e-05 | (438.84 ms | 2333 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:53.400143 139798108942336 main.cc:361] step   19/20 | train loss 3.385045 | lr 1.00e-05 | (438.60 ms | 2335 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:11:53.839385 139798108942336 main.cc:361] step   20/20 | train loss 3.341235 | lr 1.00e-05 | (439.16 ms | 2332 tok/s | peak used: 29773 MB | peak reserved: 30080 MB, DP=1, TP=1, SP=1, PP=1)
