[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype float32 --num_iteration 20 --batch_size 4 --sequence_length 64 --total_batch_size 256 --overfit_single_batch false
E20260315 22:07:50.128551 140561717645312 main.cc:361] step    1/20 | train loss 4.899448 | lr 1.00e-05 | (205.51 ms | 1246 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:50.306985 140561717645312 main.cc:361] step    2/20 | train loss 4.086943 | lr 1.00e-05 | (178.15 ms | 1437 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:50.489365 140561717645312 main.cc:361] step    3/20 | train loss 3.874063 | lr 1.00e-05 | (182.31 ms | 1404 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:50.672285 140561717645312 main.cc:361] step    4/20 | train loss 3.917660 | lr 1.00e-05 | (182.86 ms | 1400 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:50.854967 140561717645312 main.cc:361] step    5/20 | train loss 3.868909 | lr 1.00e-05 | (182.62 ms | 1402 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.037242 140561717645312 main.cc:361] step    6/20 | train loss 3.945995 | lr 1.00e-05 | (182.20 ms | 1405 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.219852 140561717645312 main.cc:361] step    7/20 | train loss 4.028147 | lr 1.00e-05 | (182.54 ms | 1402 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.402507 140561717645312 main.cc:361] step    8/20 | train loss 3.513877 | lr 1.00e-05 | (182.57 ms | 1402 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.585954 140561717645312 main.cc:361] step    9/20 | train loss 3.602720 | lr 1.00e-05 | (183.39 ms | 1396 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.767709 140561717645312 main.cc:361] step   10/20 | train loss 3.716987 | lr 1.00e-05 | (181.69 ms | 1409 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:51.949817 140561717645312 main.cc:361] step   11/20 | train loss 4.255036 | lr 1.00e-05 | (182.04 ms | 1406 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:52.132879 140561717645312 main.cc:361] step   12/20 | train loss 3.665131 | lr 1.00e-05 | (183.00 ms | 1399 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:52.315560 140561717645312 main.cc:361] step   13/20 | train loss 3.544512 | lr 1.00e-05 | (182.60 ms | 1402 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:52.496734 140561717645312 main.cc:361] step   14/20 | train loss 3.966545 | lr 1.00e-05 | (181.11 ms | 1414 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:52.679066 140561717645312 main.cc:361] step   15/20 | train loss 3.703061 | lr 1.00e-05 | (182.28 ms | 1404 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:52.862098 140561717645312 main.cc:361] step   16/20 | train loss 3.780840 | lr 1.00e-05 | (182.96 ms | 1399 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:53.045190 140561717645312 main.cc:361] step   17/20 | train loss 3.587410 | lr 1.00e-05 | (183.03 ms | 1399 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:53.226022 140561717645312 main.cc:361] step   18/20 | train loss 3.637389 | lr 1.00e-05 | (180.75 ms | 1416 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:53.408976 140561717645312 main.cc:361] step   19/20 | train loss 4.097225 | lr 1.00e-05 | (182.89 ms | 1400 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:07:53.592994 140561717645312 main.cc:361] step   20/20 | train loss 3.740061 | lr 1.00e-05 | (183.95 ms | 1392 tok/s | peak used: 24561 MB | peak reserved: 24640 MB, DP=1, TP=1, SP=1, PP=1)
