[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype bfloat16 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false --flash true
E20260315 22:12:26.207449 140048428994560 main.cc:361] step    1/20 | train loss 12.502571 | lr 1.00e-05 | (2962.28 ms | 346 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:26.673530 140048428994560 main.cc:361] step    2/20 | train loss 12.132983 | lr 1.00e-05 | (465.83 ms | 2198 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:27.230503 140048428994560 main.cc:361] step    3/20 | train loss 11.274683 | lr 1.00e-05 | (556.90 ms | 1839 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:27.788132 140048428994560 main.cc:361] step    4/20 | train loss 11.219442 | lr 1.00e-05 | (557.57 ms | 1837 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:28.346001 140048428994560 main.cc:361] step    5/20 | train loss 10.125348 | lr 1.00e-05 | (557.81 ms | 1836 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:28.903696 140048428994560 main.cc:361] step    6/20 | train loss 10.312451 | lr 1.00e-05 | (557.64 ms | 1836 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:29.463285 140048428994560 main.cc:361] step    7/20 | train loss 9.848536 | lr 1.00e-05 | (559.53 ms | 1830 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:30.019623 140048428994560 main.cc:361] step    8/20 | train loss 9.773829 | lr 1.00e-05 | (556.27 ms | 1841 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:30.576483 140048428994560 main.cc:361] step    9/20 | train loss 9.821498 | lr 1.00e-05 | (556.79 ms | 1839 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:31.133222 140048428994560 main.cc:361] step   10/20 | train loss 9.861827 | lr 1.00e-05 | (556.67 ms | 1840 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:31.690779 140048428994560 main.cc:361] step   11/20 | train loss 9.865855 | lr 1.00e-05 | (557.49 ms | 1837 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:32.246112 140048428994560 main.cc:361] step   12/20 | train loss 9.966630 | lr 1.00e-05 | (555.28 ms | 1844 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:32.803112 140048428994560 main.cc:361] step   13/20 | train loss 9.414379 | lr 1.00e-05 | (556.95 ms | 1839 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:33.360201 140048428994560 main.cc:361] step   14/20 | train loss 9.750258 | lr 1.00e-05 | (557.02 ms | 1838 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:33.917701 140048428994560 main.cc:361] step   15/20 | train loss 9.398571 | lr 1.00e-05 | (557.43 ms | 1837 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:34.474057 140048428994560 main.cc:361] step   16/20 | train loss 9.478896 | lr 1.00e-05 | (556.30 ms | 1841 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:35.030594 140048428994560 main.cc:361] step   17/20 | train loss 9.275783 | lr 1.00e-05 | (556.48 ms | 1840 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:35.588002 140048428994560 main.cc:361] step   18/20 | train loss 9.192231 | lr 1.00e-05 | (557.34 ms | 1837 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:36.145406 140048428994560 main.cc:361] step   19/20 | train loss 9.348606 | lr 1.00e-05 | (557.35 ms | 1837 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:12:36.703251 140048428994560 main.cc:361] step   20/20 | train loss 9.024184 | lr 1.00e-05 | (557.78 ms | 1836 tok/s | peak used: 29196 MB | peak reserved: 29504 MB, DP=1, TP=1, SP=1, PP=1)
