[LAST_CMAKE] cmake -DUSE_CUDA=ON -DUSE_NCCL=ON .. && make -j4
[COMMAND] ./llama3 --input_bin /data/shared/InfiniTrain-dev/data/llmc/llama3/tinyshakespeare/tiny_shakespeare_train.bin --llmc_filepath /data/shared/InfiniTrain-dev/data/llmc/llama3/llama3.2_1B_fp32.bin --device cuda --dtype float32 --num_iteration 20 --batch_size 4 --sequence_length 256 --total_batch_size 1024 --overfit_single_batch false --flash true
E20260315 22:09:25.357948 140236180729856 main.cc:361] step    1/20 | train loss 4.372166 | lr 1.00e-05 | (2550.37 ms | 402 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:26.039160 140236180729856 main.cc:361] step    2/20 | train loss 4.007763 | lr 1.00e-05 | (680.98 ms | 1504 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:26.719634 140236180729856 main.cc:361] step    3/20 | train loss 3.702661 | lr 1.00e-05 | (680.39 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:27.402090 140236180729856 main.cc:361] step    4/20 | train loss 3.523861 | lr 1.00e-05 | (682.38 ms | 1501 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:28.083850 140236180729856 main.cc:361] step    5/20 | train loss 3.559860 | lr 1.00e-05 | (681.67 ms | 1502 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:28.763832 140236180729856 main.cc:361] step    6/20 | train loss 3.898697 | lr 1.00e-05 | (679.88 ms | 1506 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:29.444447 140236180729856 main.cc:361] step    7/20 | train loss 3.619316 | lr 1.00e-05 | (680.55 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:30.125605 140236180729856 main.cc:361] step    8/20 | train loss 3.324199 | lr 1.00e-05 | (681.10 ms | 1503 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:30.805301 140236180729856 main.cc:361] step    9/20 | train loss 3.548409 | lr 1.00e-05 | (679.64 ms | 1507 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:31.485611 140236180729856 main.cc:361] step   10/20 | train loss 3.525484 | lr 1.00e-05 | (680.24 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:32.166935 140236180729856 main.cc:361] step   11/20 | train loss 3.486821 | lr 1.00e-05 | (681.26 ms | 1503 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:32.847852 140236180729856 main.cc:361] step   12/20 | train loss 3.357502 | lr 1.00e-05 | (680.85 ms | 1504 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:33.528266 140236180729856 main.cc:361] step   13/20 | train loss 3.417398 | lr 1.00e-05 | (680.34 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:34.208529 140236180729856 main.cc:361] step   14/20 | train loss 3.134668 | lr 1.00e-05 | (680.20 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:34.889166 140236180729856 main.cc:361] step   15/20 | train loss 2.933415 | lr 1.00e-05 | (680.56 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:35.569512 140236180729856 main.cc:361] step   16/20 | train loss 3.394986 | lr 1.00e-05 | (680.26 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:36.249869 140236180729856 main.cc:361] step   17/20 | train loss 3.364202 | lr 1.00e-05 | (680.30 ms | 1505 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:36.931090 140236180729856 main.cc:361] step   18/20 | train loss 3.260153 | lr 1.00e-05 | (681.14 ms | 1503 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:37.611990 140236180729856 main.cc:361] step   19/20 | train loss 3.352202 | lr 1.00e-05 | (680.81 ms | 1504 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
E20260315 22:09:38.291601 140236180729856 main.cc:361] step   20/20 | train loss 3.338568 | lr 1.00e-05 | (679.53 ms | 1507 tok/s | peak used: 29447 MB | peak reserved: 29568 MB, DP=1, TP=1, SP=1, PP=1)
